app_version,total_review,avg_rating,aspek_rasa,aspek_harga,aspek_aplikasi,aspek_pelayanan,aspek_kecepatan,aspek_stok,aspek_pengiriman,aspek_pesanan,neg_ratio_rasa,neg_ratio_harga,neg_ratio_aplikasi,neg_ratio_pelayanan,neg_ratio_kecepatan,neg_ratio_stok,neg_ratio_pengiriman,neg_ratio_pesanan
122.02.02,1,5.0,1,1,0,1,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
122.05.12,1,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.12.15,1,5.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123.03.09,1,5.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.08.25,1,5.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.02.01,1,2.0,1,0,1,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124.02.13,1,5.0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.02.24,1,5.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.04.02,1,5.0,1,1,1,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
124.07.04,1,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.07.18,1,2.0,1,0,1,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
124.10.24,2,5.0,1,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124.11.21,1,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.12.12,1,5.0,1,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
124.12.31,2,5.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.03.06,2,4.0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125.03.20,1,5.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.04.10,1,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.04.24,4,5.0,1,3,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125.05.08,4,4.0,1,1,2,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
125.05.27,3,4.666666666666667,1,1,1,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
